ID;QUESTIONS;ANSWER1;ANSWER2;ANSWER3;ANSWER4;CORRECT_ANSWER
1;Jak nazywa sie waluta Gruzji?;lari ;dinar;lej;dolar;1
2;Palac w Knossos to starozytny zabytek polozony na terenie:;Hiszpanii;Malty ;Wloch ;Grecji ;4
3;Jaki kolor nie wystepuje na fladze Australii?;czerwony ;zolty ;bialy ;niebieski;2
4;Jaka jest jedyna planeta w Ukladzie Slonecznym, ktorej nazwa nie pochodzi od greckiego boga lub bogini? ;Jowisz;Saturn;Ziemia;Neptun;3
5;W ktorym roku doszlo do przeklasyfikowania Plutona na planete karlowata? ;2001;2004;2006;2008;3
6;Po jakim czasie swiatlo sloneczne dociera do Ziemi? ;8 sekund;8 minut;8 godzin;8 dni;2
7;Kto byl pierwsza osoba, ktora odbyla podroz w kosmos w 1961 roku? ;Jurij Romanenko ;Jurij Glaskow ;Jurij Malyszew ;Jurij Gagarin ;4
8;Jak nazywa sie galaktyka najblizej Drogi Mlecznej? ;Whirlpool ;Kijanka ;Andromeda ;Messier 83 ;3
9;Ktora z tych flag NIE zawiera sierpa ksiezyca i gwiazdy? ;Pakistan ;Tunezja ;Maroko ;Indie;3
10;Jaki jest centralny kolor flagi Republiki Poludniowej Afryki? ;Czarny ;Zolty ;Czerwony ;Zielony ;4
